MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17CPg0492191	Putative ribosomal protein L32p
MtrunA17CPg0492221	Cytochrome c biogenesis protein CcsA
MtrunA17CPg0492231	NAD(P)H-quinone oxidoreductase chain 4
MtrunA17CPg0492241	Photosystem I iron-sulfur center
MtrunA17CPg0492251	NAD(P)H-quinone oxidoreductase subunit 4L
MtrunA17CPg0492261	NAD(P)H-quinone oxidoreductase subunit 6
MtrunA17CPg0492271	NAD(P)H-quinone oxidoreductase subunit I
MtrunA17CPg0492281	hypothetical protein
MtrunA17CPg0492291	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17CPg0492301	30S ribosomal protein S15
MtrunA17CPg0492311	Putative protein TIC214
MtrunA17CPg0492321	hypothetical protein
MtrunA17CPg0492351	hypothetical protein
MtrunA17CPg0492361	hypothetical protein
MtrunA17CPg0492371	hypothetical protein
MtrunA17CPg0492401	hypothetical protein
MtrunA17CPg0492421	30S ribosomal protein S7
MtrunA17CPg0492431	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17CPg0492451	NAD(P)H-quinone oxidoreductase subunit 2 A
MtrunA17CPg0492461	Putative ATPase, AAA-type, core, P-loop containing nucleoside triphosphate hydrolase
MtrunA17CPg0492481	hypothetical protein
MtrunA17CPg0492501	Putative ribosomal protein L25/L23
MtrunA17CPg0492511	Putative ribosomal protein L2
MtrunA17CPg0492531	50S ribosomal protein L2
MtrunA17CPg0492541	30S ribosomal protein S19
MtrunA17CPg0492551	30S ribosomal protein S3
MtrunA17CPg0492561	hypothetical protein
MtrunA17CPg0492581	50S ribosomal protein L16
MtrunA17CPg0492591	50S ribosomal protein L14
MtrunA17CPg0492601	30S ribosomal protein S8
MtrunA17CPg0492621	30S ribosomal protein S11
MtrunA17CPg0492631	hypothetical protein
MtrunA17CPg0492641	DNA-directed RNA polymerase subunit alpha
MtrunA17CPg0492651	Cytochrome b6-f complex subunit 4
MtrunA17CPg0492671	Cytochrome b6
MtrunA17CPg0492681	Photosystem II reaction center protein H
MtrunA17CPg0492701	Putative photosystem II PsbN
MtrunA17CPg0492711	Photosystem II CP47 reaction center protein
MtrunA17CPg0492721	Putative endopeptidase Clp
MtrunA17CPg0492731	Putative endopeptidase Clp
MtrunA17CPg0492741	30S ribosomal protein S12
MtrunA17CPg0492751	hypothetical protein
MtrunA17CPg0492761	50S ribosomal protein L20
MtrunA17CPg0492771	Putative ribosomal protein S18
MtrunA17CPg0492781	50S ribosomal protein L33
MtrunA17CPg0492791	Photosystem I reaction center subunit IX
MtrunA17CPg0492811	Putative cytochrome b6/f complex, subunit 5
MtrunA17CPg0492821	Cytochrome b559 subunit alpha
MtrunA17CPg0492841	Photosystem II reaction center protein J
MtrunA17CPg0492851	Cytochrome f
MtrunA17CPg0492861	hypothetical protein
MtrunA17CPg0492871	Chloroplast envelope membrane protein
MtrunA17CPg0492881	Putative photosystem I Ycf4, assembly
MtrunA17CPg0492891	Putative acetyl-CoA carboxylase
MtrunA17CPg0492901	Photosystem II reaction center protein K
MtrunA17CPg0492941	ATP synthase subunit alpha
MtrunA17CPg0492961	ATP synthase subunit b
MtrunA17CPg0492971	ATP synthase subunit c
MtrunA17CPg0492981	ATP synthase subunit a
MtrunA17CPg0492991	30S ribosomal protein S2
MtrunA17CPg0493001	DNA-directed RNA polymerase subunit beta''
MtrunA17CPg0493021	DNA-directed RNA polymerase subunit beta'
MtrunA17CPg0493031	DNA-directed RNA polymerase subunit beta'
MtrunA17CPg0493041	DNA-directed RNA polymerase subunit beta
MtrunA17CPg0493051	hypothetical protein
MtrunA17CPg0493061	hypothetical protein
MtrunA17CPg0493131	Putative photosystem II
MtrunA17CPg0493171	Photosystem II reaction center protein Z
MtrunA17CPg0493181	hypothetical protein
MtrunA17CPg0493211	30S ribosomal protein S14
MtrunA17CPg0493221	Photosystem I P700 chlorophyll a apoprotein A2
MtrunA17CPg0493231	Photosystem I P700 chlorophyll a apoprotein A1
MtrunA17CPg0493261	Photosystem I assembly protein Ycf3
MtrunA17CPg0493281	hypothetical protein
MtrunA17CPg0493291	Photosystem I assembly protein Ycf3
MtrunA17CPg0493311	30S ribosomal protein S4
MtrunA17CPg0493341	NAD(P)H-quinone oxidoreductase subunit J
MtrunA17CPg0493351	hypothetical protein
MtrunA17CPg0493361	NAD(P)H-quinone oxidoreductase subunit K
MtrunA17CPg0493371	NAD(P)H-quinone oxidoreductase subunit 3
MtrunA17CPg0493391	ATP synthase epsilon chain
MtrunA17CPg0493401	ATP synthase subunit beta
MtrunA17CPg0493411	Ribulose bisphosphate carboxylase large chain
MtrunA17CPg0493421	Maturase K
MtrunA17CPg0493441	Photosystem II protein D1
MtrunA17Chr0c01g0488941	hypothetical protein
MtrunA17Chr0c01g0488951	hypothetical protein
MtrunA17Chr0c01g0488961	hypothetical protein
MtrunA17Chr0c01g0488971	hypothetical protein
MtrunA17Chr0c01g0488981	hypothetical protein
MtrunA17Chr0c01g0488991	hypothetical protein
MtrunA17Chr0c01g0489001	Putative RNA-directed DNA polymerase
MtrunA17Chr0c01g0489031	Putative nucleotidyltransferase, Ribonuclease H
MtrunA17Chr0c01g0489051	hypothetical protein
MtrunA17Chr0c01g0489061	hypothetical protein
MtrunA17Chr0c01g0489081	hypothetical protein
MtrunA17Chr0c01g0489111	hypothetical protein
MtrunA17Chr0c01g0489121	hypothetical protein
MtrunA17Chr0c01g0489131	hypothetical protein
MtrunA17Chr0c01g0489141	hypothetical protein
MtrunA17Chr0c01g0489151	hypothetical protein
MtrunA17Chr0c01g0489161	Putative zinc- or iron-chelating domain containing protein
MtrunA17Chr0c01g0489171	hypothetical protein
MtrunA17Chr0c01g0489181	Putative transcription factor STY-LRP1 family
MtrunA17Chr0c01g0489211	hypothetical protein
MtrunA17Chr0c01g0489221	hypothetical protein
MtrunA17Chr0c01g0489231	hypothetical protein
MtrunA17Chr0c01g0489241	hypothetical protein
MtrunA17Chr0c01g0489251	hypothetical protein
MtrunA17Chr0c01g0489261	hypothetical protein
MtrunA17Chr0c01g0489311	hypothetical protein
MtrunA17Chr0c01g0489321	hypothetical protein
MtrunA17Chr0c01g0489331	Putative S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr0c01g0489341	hypothetical protein
MtrunA17Chr0c01g0489351	hypothetical protein
MtrunA17Chr0c01g0489361	hypothetical protein
MtrunA17Chr0c01g0489371	Putative transcription factor B3-Domain family
MtrunA17Chr0c01g0489381	Putative Ulp1 protease family catalytic domain-containing protein
MtrunA17Chr0c01g0489391	Putative importin-beta domain-containing protein
MtrunA17Chr0c01g0489401	Putative importin-beta domain-containing protein
MtrunA17Chr0c01g0489411	hypothetical protein
MtrunA17Chr0c01g0489421	Putative transcription factor C2H2 family
MtrunA17Chr0c01g0489441	Putative transcription factor C2H2 family
MtrunA17Chr0c01g0489451	hypothetical protein
MtrunA17Chr0c01g0489461	Putative transcription factor bHLH family
MtrunA17Chr0c01g0489471	Putative HD/PDEase domain-containing protein
MtrunA17Chr0c01g0489481	Putative protein kinase RLK-Pelle-PERK-1 family
MtrunA17Chr0c01g0489491	Putative RNA-binding, CRM domain-containing protein
MtrunA17Chr0c01g0489511	hypothetical protein
MtrunA17Chr0c01g0489521	Putative phosphoenolpyruvate carboxylase
MtrunA17Chr0c01g0489551	hypothetical protein
MtrunA17Chr0c01g0489561	hypothetical protein
MtrunA17Chr0c01g0489571	Putative sinapine esterase
MtrunA17Chr0c01g0489581	Putative sinapine esterase
MtrunA17Chr0c01g0489601	Putative ubiquitin-activating enzyme E1
MtrunA17Chr0c01g0489611	Putative NAD(P)-binding domain-containing protein
MtrunA17Chr0c01g0489631	hypothetical protein
MtrunA17Chr0c01g0489641	hypothetical protein
MtrunA17Chr0c02g0489651	hypothetical protein
MtrunA17Chr0c02g0489661	Putative proteasome endopeptidase complex
MtrunA17Chr0c02g0489681	hypothetical protein
MtrunA17Chr0c02g0489691	Putative Late nodulin
MtrunA17Chr0c02g0489721	Putative histone acetyltransferase
MtrunA17Chr0c02g0489731	Putative histone acetyltransferase
MtrunA17Chr0c02g0489751	Putative chloroquine-resistance transporter
MtrunA17Chr0c02g0489761	Putative protein kinase CAMK-CDPK family
MtrunA17Chr0c02g0489781	hypothetical protein
MtrunA17Chr0c02g0489791	hypothetical protein
MtrunA17Chr0c02g0489811	Putative histone acetyltransferase
MtrunA17Chr0c02g0489821	Putative histone acetyltransferase
MtrunA17Chr0c02g0489831	Putative aldehyde dehydrogenase (NAD(+))
MtrunA17Chr0c03g0489861	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17Chr0c03g0489881	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17Chr0c03g0489891	hypothetical protein
MtrunA17Chr0c03g0489911	Putative NADH:ubiquinone reductase (H(+)-translocating)
MtrunA17Chr0c03g0489921	hypothetical protein
MtrunA17Chr0c03g0489941	hypothetical protein
MtrunA17Chr0c03g0489951	hypothetical protein
MtrunA17Chr0c03g0489961	hypothetical protein
MtrunA17Chr0c03g0489971	hypothetical protein
MtrunA17Chr0c03g0489991	Putative cytochrome c-type biogenesis protein CcmB
MtrunA17Chr0c03g0490011	Putative F-box domain, FBD domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr0c03g0490021	Putative cellulose synthase (UDP-forming)
MtrunA17Chr0c03g0490031	Putative protein kinase RLK-Pelle-LRR-II family
MtrunA17Chr0c03g0490041	hypothetical protein
MtrunA17Chr0c03g0490051	hypothetical protein
MtrunA17Chr0c03g0490061	hypothetical protein
MtrunA17Chr0c04g0491971	hypothetical protein
MtrunA17Chr0c04g0491981	hypothetical protein
MtrunA17Chr0c04g0491991	hypothetical protein
MtrunA17Chr0c04g0492001	Putative protein kinase RLK-Pelle-SD-2b family
MtrunA17Chr0c04g0492011	Putative DNA-directed RNA polymerase
MtrunA17Chr0c04g0492021	Putative DNA-directed RNA polymerase
MtrunA17Chr0c04g0492031	Putative protein kinase RLK-Pelle-SD-2b family
MtrunA17Chr0c04g0492041	Putative SGNH hydrolase-type esterase domain-containing protein
MtrunA17Chr0c04g0492061	Putative photosystem II PsbH, phosphoprotein
MtrunA17Chr0c04g0492081	Cytochrome b6
MtrunA17Chr0c04g0492091	Cytochrome b6-f complex subunit 4
MtrunA17Chr0c05g0492121	Putative TauD/TfdA-like domain-containing protein
MtrunA17Chr0c05g0492131	Putative phospholipid-translocating ATPase
MtrunA17Chr0c05g0492141	Putative xenobiotic-transporting ATPase
MtrunA17Chr0c05g0492161	Putative transcription regulator GNAT family
MtrunA17Chr0c06g0493481	Putative alpha/Beta hydrolase
MtrunA17Chr0c09g0493491	Putative RNA helicase
MtrunA17Chr0c09g0493501	Putative MRN complex-interacting protein
MtrunA17Chr0c09g0493511	Putative polyadenylate binding protein
MtrunA17Chr0c09g0493521	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr0c09g0493531	Putative protein kinase RLK-Pelle-LRR-XII-1 family
MtrunA17Chr0c09g0493541	Putative non-specific serine/threonine protein kinase
MtrunA17Chr0c09g0493551	Putative F-box domain, FBD domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr0c09g0493581	Putative nucleotide-binding alpha-beta plait domain-containing protein
MtrunA17Chr0c10g0493591	hypothetical protein
MtrunA17Chr0c10g0493611	hypothetical protein
MtrunA17Chr0c12g0493631	Putative RNA helicase
MtrunA17Chr0c12g0493641	Putative prolycopene isomerase
MtrunA17Chr0c12g0493651	Putative translation elongation factor EF1B, gamma chain, S-crystallin
MtrunA17Chr0c12g0493661	Putative glucosylceramidase
MtrunA17Chr0c12g0493671	hypothetical protein
MtrunA17Chr0c12g0493681	Putative chloride channel, voltage gated
MtrunA17Chr0c14g0493691	Putative non-specific serine/threonine protein kinase
MtrunA17Chr0c14g0493701	hypothetical protein
MtrunA17Chr0c15g0493711	hypothetical protein
MtrunA17Chr0c17g0493721	hypothetical protein
MtrunA17Chr0c18g0493731	hypothetical protein
MtrunA17Chr0c18g0493741	hypothetical protein
MtrunA17Chr0c18g0493751	hypothetical protein
MtrunA17Chr0c19g0493761	hypothetical protein
MtrunA17Chr0c19g0493771	Putative cytochrome P450
MtrunA17Chr0c19g0493781	Putative sterol 3-beta-glucosyltransferase
MtrunA17Chr0c19g0493791	Putative sterol 3-beta-glucosyltransferase
MtrunA17Chr0c20g0493811	Putative protein kinase RLK-Pelle-RLCK-VIII family
MtrunA17Chr0c20g0493821	Putative non-specific serine/threonine protein kinase
MtrunA17Chr0c20g0493831	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr0c20g0493841	Putative xenobiotic-transporting ATPase
MtrunA17Chr0c22g0493851	Putative phosphoric monoester hydrolase
MtrunA17Chr0c22g0493861	hypothetical protein
MtrunA17Chr0c22g0493871	hypothetical protein
MtrunA17Chr0c22g0493881	Putative heavy metal-associated domain, HMA
MtrunA17Chr0c27g0493891	hypothetical protein
MtrunA17Chr0c27g0493901	hypothetical protein
MtrunA17Chr0c27g0493911	hypothetical protein
MtrunA17Chr0c27g0493921	Putative cathepsin H
MtrunA17Chr0c28g0493931	Putative protein S-acyltransferase
MtrunA17Chr0c28g0493941	Putative hydrolase
MtrunA17Chr0c28g0493951	Putative hydrolase
MtrunA17Chr0c28g0493961	Putative protein-serine/threonine phosphatase
MtrunA17Chr0c29g0493981	hypothetical protein
MtrunA17Chr0c29g0493991	Putative Smr domain-containing protein
MtrunA17Chr0c29g0494001	Putative transcription regulator mTERF family
MtrunA17Chr0c29g0494011	Putative F-box domain-containing protein
MtrunA17Chr0c29g0494021	Putative ELMO domain-containing protein
MtrunA17Chr0c29g0494031	Putative ELMO domain-containing protein
MtrunA17Chr0c29g0494041	hypothetical protein
MtrunA17Chr0c30g0494061	Putative glucose-1-phosphate adenylyltransferase
MtrunA17Chr0c30g0494071	Putative glucose-1-phosphate adenylyltransferase
MtrunA17Chr0c30g0494081	Putative RNA helicase
MtrunA17Chr0c30g0494091	Putative RNA helicase
MtrunA17Chr0c30g0494101	Putative short-chain dehydrogenase/reductase SDR
MtrunA17Chr0c30g0494111	hypothetical protein
MtrunA17Chr0c31g0494131	Putative mannosyl-oligosaccharide 1,2-alpha-mannosidase
MtrunA17Chr0c31g0494141	Putative mannosyl-oligosaccharide 1,2-alpha-mannosidase
MtrunA17Chr0c31g0494151	hypothetical protein
MtrunA17Chr0c31g0494161	hypothetical protein
MtrunA17Chr0c32g0494171	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr0c32g0494181	hypothetical protein
MtrunA17Chr0c32g0494191	Putative Late nodulin
MtrunA17Chr0c32g0494201	hypothetical protein
MtrunA17Chr1g0146101	hypothetical protein
MtrunA17Chr1g0146111	hypothetical protein
MtrunA17Chr1g0146121	hypothetical protein
MtrunA17Chr1g0146131	hypothetical protein
MtrunA17Chr1g0146141	hypothetical protein
MtrunA17Chr1g0146151	Putative protein kinase CK1-CK1 family
MtrunA17Chr1g0146161	Putative major intrinsic protein
MtrunA17Chr1g0146171	Putative major intrinsic protein
MtrunA17Chr1g0146181	Putative xylogalacturonan beta-1,3-xylosyltransferase
MtrunA17Chr1g0146191	Putative transcription factor AP2-EREBP family
MtrunA17Chr1g0146201	Putative nucleoporin Nup85
MtrunA17Chr1g0146211	Putative regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
MtrunA17Chr1g0146221	Putative regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II
MtrunA17Chr1g0146231	Putative transcription factor C2C2-GATA family
MtrunA17Chr1g0146241	Putative P-loop containing nucleoside triphosphate hydrolase, leucine-rich repeat domain, L
MtrunA17Chr1g0146251	Putative cucumisin
MtrunA17Chr1g0146271	Putative cucumisin
MtrunA17Chr1g0146281	Putative ribonuclease PH, bacterial-type, exosome complex component Rrp43
MtrunA17Chr1g0146291	Putative thioredoxin-like protein
MtrunA17Chr1g0146301	Putative protein kinase CK1-CK1-Pl family
MtrunA17Chr1g0146311	Putative ATP-dependent protease La (LON), substrate-binding domain, PUA-like protein
MtrunA17Chr1g0146321	Putative phosphoribosylglycinamide formyltransferase
MtrunA17Chr1g0146331	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr1g0146341	hypothetical protein
MtrunA17Chr1g0146351	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr1g0146361	hypothetical protein
MtrunA17Chr1g0146371	hypothetical protein
MtrunA17Chr1g0146381	hypothetical protein
MtrunA17Chr1g0146391	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr1g0146401	hypothetical protein
MtrunA17Chr1g0146411	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr1g0146421	Putative TIR domain, winged helix-turn-helix DNA-binding domain-containing protein
MtrunA17Chr1g0146431	Putative sugar-phosphatase
MtrunA17Chr1g0146441	Putative tyrosine--tRNA ligase
MtrunA17Chr1g0146451	Putative tyrosine--tRNA ligase
MtrunA17Chr1g0146461	Putative tyrosine--tRNA ligase
MtrunA17Chr1g0146471	Putative early nodulin 93 ENOD93 protein
MtrunA17Chr1g0146481	Putative RNA polymerase sigma-70 like domain-containing protein
MtrunA17Chr1g0146491	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr1g0146501	Putative GDP-fucose protein O-fucosyltransferase
MtrunA17Chr1g0146521	Putative F-box domain-containing protein
MtrunA17Chr1g0146531	Putative protein FAM135, alpha/Beta hydrolase
MtrunA17Chr1g0146541	Putative F-box domain-containing protein
MtrunA17Chr1g0146551	hypothetical protein
MtrunA17Chr1g0146561	Putative ribosomal protein L28
MtrunA17Chr1g0146581	hypothetical protein
MtrunA17Chr1g0146591	Putative oligopeptide transporter, OPT superfamily
MtrunA17Chr1g0146601	Putative oligopeptide transporter, OPT superfamily
MtrunA17Chr1g0146611	Putative DNA-directed DNA polymerase
MtrunA17Chr1g0146621	Putative DNA-directed DNA polymerase
MtrunA17Chr1g0146631	Putative BURP domain-containing protein
MtrunA17Chr1g0146641	Putative oligopeptide transporter, OPT superfamily
MtrunA17Chr1g0146651	Putative oligopeptide transporter, OPT superfamily
MtrunA17Chr1g0146661	Putative Rab-GTPase-TBC domain-containing protein
MtrunA17Chr1g0146671	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr1g0146681	Putative tetratricopeptide-like helical domain, DYW domain-containing protein
MtrunA17Chr1g0146691	Putative ADP/ATP carrier protein
MtrunA17Chr1g0146701	Putative Macro domain-containing protein
MtrunA17Chr1g0146721	Putative DNA helicase
MtrunA17Chr1g0146731	Putative histone-lysine N-methyltransferase transcription regulator PHD family
MtrunA17Chr1g0146741	Putative histone-lysine N-methyltransferase
MtrunA17Chr1g0146751	Putative histone-lysine N-methyltransferase
MtrunA17Chr1g0146761	Putative histone-lysine N-methyltransferase transcription regulator PHD family
